City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,kingston,17.997,-76.7936,27.91,85,42,1.79,JM,1692058203
137,rzhev,56.2624,34.3282,18.11,82,94,2.2,RU,1692058614
138,iskateley,67.6803,53.1512,13.78,80,91,3.4,RU,1692058614
139,dorado,18.4588,-66.2677,29.54,82,12,1.79,PR,1692058614
140,lazaro cardenas,17.9583,-102.2,30.12,73,84,2.94,MX,1692058614
141,tazovsky,67.4667,78.7,9.29,97,96,3.62,RU,1692058615
142,thala,35.5724,8.6703,21.62,51,1,3.81,TN,1692058615
143,konkwesso,10.8469,4.0984,22.35,96,99,2.08,NG,1692058615
144,college,64.8569,-147.8028,21.18,50,40,2.06,US,1692058615
145,mabaruma,8.2,-59.7833,24.3,97,14,1.42,GY,1692058615
146,holualoa,19.6228,-155.9522,28.91,72,75,5.66,US,1692058615
147,coquimbo,-29.9533,-71.3436,13.97,89,84,0.73,CL,1692058616
148,staplehurst,51.1611,0.5525,17.81,70,65,2.07,GB,1692058616
149,hamilton,39.1834,-84.5333,26.07,88,75,3.09,US,1692058544
150,sao felix do xingu,-6.6447,-51.995,25.29,34,41,0.78,BR,1692058616
151,childersburg,33.2782,-86.355,33.93,76,100,0.0,US,1692058617
152,anar darah,32.7587,61.654,20.65,15,0,8.05,AF,1692058617
153,west island,-12.1568,96.8225,21.99,94,75,6.17,CC,1692058617
154,hilo,19.7297,-155.09,28.47,73,0,4.63,US,1692058617
155,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,68,0,3.0,RU,1692058618
156,mhamid,29.82,-5.72,33.68,11,5,1.7,MA,1692058618
157,turtas,58.9417,69.1325,9.82,77,58,1.06,RU,1692058618
158,onguday,50.75,86.15,5.33,87,19,0.91,RU,1692058619
159,port mathurin,-19.6833,63.4167,23.1,72,33,8.7,MU,1692058619
160,loreto,22.2667,-101.9667,25.35,33,82,9.33,MX,1692058619
161,dhrangadhra,22.9833,71.4667,26.71,78,99,5.6,IN,1692058619
162,langepas,61.2544,75.2124,14.3,86,99,2.45,RU,1692058619
163,talnakh,69.4865,88.3972,12.34,58,79,1.74,RU,1692058620
164,nizhneudinsk,54.9076,99.0276,13.54,77,100,1.61,RU,1692058620
165,east ballina,-28.8667,153.5833,20.44,75,90,1.6,AU,1692058620
166,manor,19.75,72.9167,25.77,84,99,3.97,IN,1692058583
167,chibougamau,49.9168,-74.3659,16.79,82,0,3.6,CA,1692058621
168,tiksi,71.6872,128.8694,7.55,85,57,2.44,RU,1692058621
169,badger,64.8,-147.5333,21.14,46,0,2.06,US,1692058458
170,bac lieu,9.285,105.7244,27.29,80,41,3.93,VN,1692058621
171,san pedro pochutla,15.7333,-96.4667,28.17,83,100,2.3,MX,1692058621
172,kurumkan,54.3,110.3,20.34,71,31,0.63,RU,1692058621
173,kazanskoye,55.6448,69.235,9.69,80,36,3.19,RU,1692058622
174,olyokminsk,60.3736,120.4264,18.38,67,26,3.78,RU,1692058622
175,kosh-agach,50.0,88.6667,5.26,67,27,1.29,RU,1692058622
176,igarka,67.4667,86.5833,14.49,69,12,3.58,RU,1692058623
177,puerto armuelles,8.2833,-82.8667,26.99,82,100,2.24,PA,1692058623
178,mishelevka,52.8575,103.1719,16.94,94,27,4.4,RU,1692058623
179,vadso,70.0744,29.7487,15.49,100,75,2.06,NO,1692058623
180,porto empedocle,37.2934,13.5264,23.18,75,0,0.86,IT,1692058342
181,puerto baquerizo moreno,-0.9,-89.6,23.66,78,77,3.87,EC,1692058624
182,kitimat,54.0524,-128.6534,25.38,56,86,4.02,CA,1692058624
183,havre,49.5833,0.3333,17.87,94,100,3.6,FR,1692058624
184,amahai,-3.3333,128.9167,25.91,80,90,1.56,ID,1692058625
185,jamestown,42.097,-79.2353,20.77,86,100,2.57,US,1692058515
186,acapulco de juarez,16.8634,-99.8901,28.9,79,100,1.03,MX,1692058625
187,port alfred,-33.5906,26.891,12.32,89,92,1.79,ZA,1692058625
188,freetown,8.484,-13.2299,24.96,90,100,4.17,SL,1692058626
189,kulunda,52.566,78.9385,11.41,91,100,3.05,RU,1692058626
190,stanley,54.868,-1.6985,13.73,92,40,4.12,GB,1692058627
191,ermoupolis,37.4423,24.9425,26.39,65,0,5.14,GR,1692058627
192,namdrik,5.5994,168.1028,27.94,76,94,1.96,MH,1692058627
193,coaticook,45.1334,-71.7991,19.37,95,88,1.21,CA,1692058627
194,mar del plata,-38.0023,-57.5575,14.49,76,63,1.54,AR,1692058628
195,agat village,13.3886,144.6585,30.2,81,75,4.63,GU,1692058628
196,funafuti,-8.5243,179.1942,29.07,68,81,7.72,TV,1692058628
197,rasulnagar,32.3285,73.7814,24.86,90,52,3.89,PK,1692058629
198,saint-francois,46.4154,3.9054,20.93,94,0,1.54,FR,1692058629
199,lihue,21.9789,-159.3672,30.77,60,0,6.17,US,1692058629
200,grand falls-windsor,48.9332,-55.6649,15.84,92,100,1.34,CA,1692058629
201,puerto san jose,13.9256,-90.8244,29.27,72,85,1.62,GT,1692058630
202,watsa,3.0372,29.5355,17.44,97,4,0.71,CD,1692058630
203,belel,7.05,14.4333,16.12,97,100,1.27,CM,1692058630
204,sandnessjoen,66.0217,12.6316,12.29,82,78,4.56,NO,1692058630
205,salavan,15.7167,106.4167,24.04,96,100,1.08,LA,1692058631
206,codrington,-38.2667,141.9667,9.22,74,8,3.23,AU,1692058631
207,nyagan,62.1406,65.3936,17.37,85,100,1.29,RU,1692058631
208,pointe-noire,-4.7761,11.8635,20.58,92,7,2.18,CG,1692058631
209,yarmouth,41.7057,-70.2286,23.87,83,0,3.6,US,1692058632
210,sao jose da coroa grande,-8.8978,-35.1478,23.93,71,45,4.69,BR,1692058632
211,cho dok,10.7,105.1167,28.38,71,84,5.5,VN,1692058633
212,mogocha,53.7333,119.7667,19.05,84,4,0.36,RU,1692058633
213,nar'yan-mar,67.6713,53.087,13.83,80,90,3.4,RU,1692058633
214,languyan,5.2618,120.0807,27.65,80,88,1.66,PH,1692058633
215,new norfolk,-42.7826,147.0587,9.4,58,7,1.07,AU,1692058634
216,nalut,30.3333,10.85,27.69,35,2,6.43,LY,1692058634
217,aitape,-3.1374,142.3475,28.41,69,81,2.24,PG,1692058634
218,la passe,45.5549,-0.8967,18.88,88,91,1.08,FR,1692058634
219,sur,22.5667,59.5289,32.15,50,98,3.69,OM,1692058635
220,santa helena,-2.2311,-45.3,23.43,91,69,1.27,BR,1692058482
221,yanam,16.7333,82.2167,26.67,78,99,2.39,IN,1692058635
222,mezzouna,34.5776,9.8419,24.41,63,0,2.41,TN,1692058635
223,lisala,2.15,21.5167,21.55,98,89,1.32,CD,1692058636
224,constantia,44.1833,28.65,23.38,74,37,6.92,RO,1692058636
